Ticket,Fecha,CodTienda,CodCliente
"S2-13-003-257744","03/17/13 00:00:00","003","000047"
"S2-13-003-257745","03/17/13 00:00:00","003","005265"
"S2-13-003-257748","03/17/13 00:00:00","003","006057"
"S2-13-003-257750","03/17/13 00:00:00","003","009987"
"S2-13-003-257767","03/18/13 00:00:00","003","002514"
"S2-13-003-257775","03/18/13 00:00:00","003","003695"
"S2-13-003-257824","03/21/13 00:00:00","003","004976"
"S2-13-003-257838","03/21/13 00:00:00","003","009987"
"S2-13-003-257867","03/23/13 00:00:00","003","001549"
"S2-13-003-257878","03/23/13 00:00:00","003","008982"
"S2-13-003-257881","03/23/13 00:00:00","003","009987"
"S2-13-003-257893","03/24/13 00:00:00","003","000047"
"S2-13-003-257897","03/24/13 00:00:00","003","005265"
"S2-13-003-257906","03/24/13 00:00:00","003","005430"
"S2-13-003-257943","03/26/13 00:00:00","003","000047"
"S2-13-003-257945","03/26/13 00:00:00","003","000523"
"S2-13-003-257966","03/27/13 00:00:00","003","009113"
"S2-13-003-257972","03/27/13 00:00:00","003","001228"
"S2-13-003-257984","03/28/13 00:00:00","003","006832"
"S2-13-003-257986","03/28/13 00:00:00","003","007757"
"S2-13-003-258008","03/29/13 00:00:00","003","007996"
"S2-13-003-258015","03/30/13 00:00:00","003","008054"
"S2-13-003-258037","03/31/13 00:00:00","003","006541"
"S2-13-003-258052","04/02/13 00:00:00","003","006163"
"S2-13-003-258061","04/02/13 00:00:00","003","006871"
"S2-13-003-258067","04/02/13 00:00:00","003","005265"
"S2-13-003-258074","04/03/13 00:00:00","003","005590"
"S2-13-003-258090","04/03/13 00:00:00","003","003623"
"S2-13-003-258092","04/03/13 00:00:00","003","002877"
"S2-13-003-258103","04/04/13 00:00:00","003","006377"
"S2-13-003-258104","04/04/13 00:00:00","003","001424"
"S2-13-003-258120","04/04/13 00:00:00","003","003328"
"S2-13-003-258144","04/05/13 00:00:00","003","005265"
"S2-13-003-258147","04/06/13 00:00:00","003","006260"
"S2-13-003-258148","04/06/13 00:00:00","003","006163"
"S2-13-003-258154","04/06/13 00:00:00","003","003328"
"S2-13-003-258168","04/06/13 00:00:00","003","006163"
"S2-13-003-258169","04/06/13 00:00:00","003","000520"
"S2-13-003-258179","04/06/13 00:00:00","003","000047"
"S2-13-003-258193","04/07/13 00:00:00","003","005578"
"S2-13-003-258213","04/08/13 00:00:00","003","005590"
"S2-13-003-258225","04/09/13 00:00:00","003","005896"
"S2-13-003-258242","04/10/13 00:00:00","003","005896"
"S2-13-003-258271","04/11/13 00:00:00","003","005578"
"S2-13-003-258276","04/11/13 00:00:00","003","007996"
"S2-13-003-258283","04/11/13 00:00:00","003","007601"
"S2-13-003-258291","04/12/13 00:00:00","003","001078"
"S2-13-003-258298","04/12/13 00:00:00","003","006167"
"S2-13-003-258313","04/13/13 00:00:00","003","005430"
"S2-13-003-258326","04/14/13 00:00:00","003","007222"
"S2-13-003-258329","04/14/13 00:00:00","003","006357"
"S2-13-003-258339","04/14/13 00:00:00","003","008614"
"S2-13-003-258341","04/14/13 00:00:00","003","001549"
"S2-13-003-258344","04/14/13 00:00:00","003","003328"
"S2-13-003-258372","04/16/13 00:00:00","003","005435"
"S2-13-003-258397","04/17/13 00:00:00","003","002639"
"S2-13-003-258398","04/17/13 00:00:00","003","000047"
"S2-13-003-258400","04/17/13 00:00:00","003","006182"
"S2-13-003-258415","04/18/13 00:00:00","003","000074"
"S2-13-003-258418","04/18/13 00:00:00","003","007757"
"S2-13-003-258432","04/19/13 00:00:00","003","000047"
"S2-13-003-258442","04/20/13 00:00:00","003","006044"
"S2-13-003-258447","04/20/13 00:00:00","003","005430"
"S2-13-003-258448","04/20/13 00:00:00","003","005265"
"S2-13-003-258454","04/20/13 00:00:00","003","003328"
"S2-13-003-258538","04/24/13 00:00:00","003","006760"
"S2-13-003-258560","04/24/13 00:00:00","003","004976"
"S2-13-003-258564","04/25/13 00:00:00","003","004976"
"S2-13-003-258624","04/28/13 00:00:00","003","005265"
"S2-13-003-258637","04/29/13 00:00:00","003","006357"
"S2-13-003-258639","04/29/13 00:00:00","003","005590"
"S2-13-003-258646","04/30/13 00:00:00","003","004961"
